"","X","Periodo","Tipo.de.dato","Grupos.ECOICOP","value"
"1",1,"2023M12","Índice","Índice general",113.308
"2",2,"2023M11","Índice","Índice general",113.28
"3",3,"2023M10","Índice","Índice general",113.676
"4",4,"2023M09","Índice","Índice general",113.348
"5",5,"2023M08","Índice","Índice general",113.149
"6",6,"2023M07","Índice","Índice general",112.544
"7",7,"2023M06","Índice","Índice general",112.354
"8",8,"2023M05","Índice","Índice general",111.719
"9",9,"2023M04","Índice","Índice general",111.773
"10",10,"2023M03","Índice","Índice general",111.111
"11",11,"2023M02","Índice","Índice general",110.703
"12",12,"2023M01","Índice","Índice general",109.668
"13",13,"2022M12","Índice","Índice general",109.899
"14",14,"2022M11","Índice","Índice general",109.734
"15",15,"2022M10","Índice","Índice general",109.866
"16",16,"2022M09","Índice","Índice general",109.498
"17",17,"2022M08","Índice","Índice general",110.265
"18",18,"2022M07","Índice","Índice general",109.986
"19",19,"2022M06","Índice","Índice general",110.267
"20",20,"2022M05","Índice","Índice general",108.262
"21",21,"2022M04","Índice","Índice general",107.375
"22",22,"2022M03","Índice","Índice general",107.566
"23",23,"2022M02","Índice","Índice general",104.403
"24",24,"2022M01","Índice","Índice general",103.567
"25",25,"2021M12","Índice","Índice general",103.965
"26",26,"2021M11","Índice","Índice general",102.738
"27",27,"2021M10","Índice","Índice general",102.425
"28",28,"2021M09","Índice","Índice general",100.575
"29",29,"2021M08","Índice","Índice general",99.743
"30",30,"2021M07","Índice","Índice general",99.292
"31",31,"2021M06","Índice","Índice general",100.046
"32",32,"2021M05","Índice","Índice general",99.572
"33",33,"2021M04","Índice","Índice general",99.105
"34",34,"2021M03","Índice","Índice general",97.949
"35",35,"2021M02","Índice","Índice general",97.008
"36",36,"2021M01","Índice","Índice general",97.583
"37",37,"2020M12","Índice","Índice general",97.574
"38",38,"2020M11","Índice","Índice general",97.367
"39",39,"2020M10","Índice","Índice general",97.208
"40",40,"2020M09","Índice","Índice general",96.7
"41",41,"2020M08","Índice","Índice general",96.555
"42",42,"2020M07","Índice","Índice general",96.511
"43",43,"2020M06","Índice","Índice general",97.385
"44",44,"2020M05","Índice","Índice general",96.938
"45",45,"2020M04","Índice","Índice general",96.944
"46",46,"2020M03","Índice","Índice general",96.652
"47",47,"2020M02","Índice","Índice general",97.024
"48",48,"2020M01","Índice","Índice general",97.139
"49",49,"2019M12","Índice","Índice general",98.096
"50",50,"2019M11","Índice","Índice general",98.167
"51",51,"2019M10","Índice","Índice general",98.001
"52",52,"2019M09","Índice","Índice general",97.059
"53",53,"2019M08","Índice","Índice general",97.059
"54",54,"2019M07","Índice","Índice general",97.113
"55",55,"2019M06","Índice","Índice general",97.719
"56",56,"2019M05","Índice","Índice general",97.834
"57",57,"2019M04","Índice","Índice general",97.644
"58",58,"2019M03","Índice","Índice general",96.669
"59",59,"2019M02","Índice","Índice general",96.32
"60",60,"2019M01","Índice","Índice general",96.085
"61",61,"2018M12","Índice","Índice general",97.329
"62",62,"2018M11","Índice","Índice general",97.768
"63",63,"2018M10","Índice","Índice general",97.875
"64",64,"2018M09","Índice","Índice general",96.978
